personId,householdId,age,sex,isFemale,valueOfTime,TAZ,income,hhsize,auto_ownership,num_workers,locationX,locationY,autoWorkRatio
20430,5352,71,1,FALSE,10.014036086819502,70,52461.3674,9,2,2,413987.7924503472,4593589.9902054,auto_sufficient
20431,5352,63,2,TRUE,10.014036086819502,70,52461.3674,9,2,2,413987.7924503472,4593589.9902054,auto_sufficient
20432,5352,35,2,TRUE,10.014036086819502,70,52461.3674,9,2,2,413987.7924503472,4593589.9902054,auto_sufficient
20433,5352,23,2,TRUE,10.014036086819502,70,52461.3674,9,2,2,413987.7924503472,4593589.9902054,auto_sufficient
20434,5352,16,1,FALSE,6.679362069908608,70,52461.3674,9,2,2,413987.7924503472,4593589.9902054,auto_sufficient
20435,5352,10,2,TRUE,6.679362069908608,70,52461.3674,9,2,2,413987.7924503472,4593589.9902054,auto_sufficient
20436,5352,6,1,FALSE,6.679362069908608,70,52461.3674,9,2,2,413987.7924503472,4593589.9902054,auto_sufficient
20437,5352,3,1,FALSE,6.679362069908608,70,52461.3674,9,2,2,413987.7924503472,4593589.9902054,auto_sufficient
20438,5352,0,2,TRUE,6.679362069908608,70,52461.3674,9,2,2,413987.7924503472,4593589.9902054,auto_sufficient
21024,5536,52,1,FALSE,20.60725461828528,70,90574.616,3,2,1,413763.83050444105,4593754.239953005,auto_sufficient
21025,5536,52,2,TRUE,20.60725461828528,70,90574.616,3,2,1,413763.83050444105,4593754.239953005,auto_sufficient
21026,5536,26,2,TRUE,20.60725461828528,70,90574.616,3,2,1,413763.83050444105,4593754.239953005,auto_sufficient
76965,22193,29,1,FALSE,5.514500787761232,397,-8,1,1,0,412005.4809978833,4552284.539762492,auto_sufficient
134065,41849,61,1,FALSE,2.089615596852353,462,19802.90468,2,2,2,420339.5768374923,4545754.550005401,auto_sufficient
134066,41849,63,2,TRUE,2.089615596852353,462,19802.90468,2,2,2,420339.5768374923,4545754.550005401,auto_sufficient
139218,43813,31,1,FALSE,36.13629188060325,453,109818.871952,4,4,2,421702.39413865184,4548555.209863937,auto_sufficient
139219,43813,31,2,TRUE,36.13629188060325,453,109818.871952,4,4,2,421702.39413865184,4548555.209863937,auto_sufficient
139220,43813,4,1,FALSE,24.10290668436237,453,109818.871952,4,4,2,421702.39413865184,4548555.209863937,auto_sufficient
139221,43813,4,1,FALSE,24.10290668436237,453,109818.871952,4,4,2,421702.39413865184,4548555.209863937,auto_sufficient
141105,44517,25,2,TRUE,3.072772310416212,454,-8,1,0,0,420733.0562769968,4548268.860435573,no_auto
200844,64241,62,1,FALSE,1,514,10054.7759,6,3,3,426858.15343758033,4530619.770458761,auto_sufficient
200845,64241,54,2,TRUE,1,514,10054.7759,6,3,3,426858.15343758033,4530619.770458761,auto_sufficient
200846,64241,27,1,FALSE,1,514,10054.7759,6,3,3,426858.15343758033,4530619.770458761,auto_sufficient
200847,64241,3,1,FALSE,0.667,514,10054.7759,6,3,3,426858.15343758033,4530619.770458761,auto_sufficient
